Backfilling LGA boundaries for 542 locales.
[1/542] Adelaide... ok (Polygon, 6984 chars)
[2/542] Adelaide Hills... ok (Polygon, 109891 chars)
[3/542] Adelaide Plains... ok (Polygon, 147840 chars)
[4/542] Albany... ok (MultiPolygon, 1338033 chars)
[5/542] Albury... ok (Polygon, 119584 chars)
[6/542] Alexandrina... ok (MultiPolygon, 55389 chars)
[7/542] Alice Springs... ok (Polygon, 3294 chars)
[8/542] Alpine... ok (MultiPolygon, 297889 chars)
[9/542] Anangu Pitjantjatjara Yunkunytjatjara... ok (MultiPolygon, 21508 chars)
[10/542] Ararat... ok (Polygon, 157979 chars)
[11/542] Armadale... ok (Polygon, 22149 chars)
[12/542] Armidale Regional... ok (Polygon, 780226 chars)
[13/542] Ashburton... ok (MultiPolygon, 193231 chars)
[14/542] Augusta Margaret River... ok (MultiPolygon, 368742 chars)
[15/542] Aurukun... ok (MultiPolygon, 44240 chars)
[16/542] Ballarat... ok (Polygon, 50925 chars)
[17/542] Ballina... ok (MultiPolygon, 399218 chars)
[18/542] Balonne... ok (Polygon, 48319 chars)
[19/542] Balranald... ok (Polygon, 823401 chars)
[20/542] Banana... ok (Polygon, 151334 chars)
[21/542] Banyule... ok (Polygon, 74336 chars)
[22/542] Barcaldine... ok (Polygon, 78731 chars)
[23/542] Barcoo... ok (Polygon, 75579 chars)
[24/542] Barkly... ok (Polygon, 12517 chars)
[25/542] Barossa... ok (Polygon, 115742 chars)
[26/542] Barunga West... ok (Polygon, 78699 chars)
[27/542] Bass Coast... ok (MultiPolygon, 290608 chars)
[28/542] Bassendean... ok (Polygon, 27088 chars)
[29/542] Bathurst Regional... ok (Polygon, 639223 chars)
[30/542] Baw Baw... ok (MultiPolygon, 206096 chars)
[31/542] Bayside (NSW)... ok (Polygon, 99959 chars)
[32/542] Bayside (Vic.)... ok (Polygon, 40618 chars)
[33/542] Bayswater... ok (Polygon, 54098 chars)
[34/542] Bega Valley... ok (MultiPolygon, 1151074 chars)
[35/542] Bellingen... ok (Polygon, 231041 chars)
[36/542] Belmont... ok (Polygon, 51251 chars)
[37/542] Belyuen... ok (Polygon, 692 chars)
[38/542] Benalla... ok (Polygon, 140976 chars)
[39/542] Berri Barmera... ok (Polygon, 26257 chars)
[40/542] Berrigan... ok (Polygon, 250284 chars)
[41/542] Beverley... ok (Polygon, 29738 chars)
[42/542] Blackall Tambo... ok (Polygon, 60282 chars)
[43/542] Blacktown... ok (Polygon, 105922 chars)
[44/542] Bland... ok (Polygon, 136266 chars)
[45/542] Blayney... ok (Polygon, 128686 chars)
[46/542] Blue Mountains... ok (Polygon, 234054 chars)
[47/542] Boddington... ok (Polygon, 30534 chars)
[48/542] Bogan... ok (Polygon, 156506 chars)
[49/542] Boroondara... ok (Polygon, 86815 chars)
[50/542] Boulia... ok (Polygon, 18431 chars)
[51/542] Bourke... ok (Polygon, 402686 chars)
[52/542] Boyup Brook... ok (Polygon, 75781 chars)
[53/542] Break O'Day... no LGA boundary found
